"Record ID","Survey Identifier","Survey Timestamp","Do you want to see further detailed information?","I have read the cover letter and agree to take part in this survey.","Faculty rank",Gender,"Departmental affiliation","Please write down the Department affiliation","What is your Google Scholar h-index?","What state do you reside in?","How many months of your salary depend on external grants?","Please specify the months","What percentage of your group's research operation is funded by external grants? Operational costs include summer salaries for faculty, postdoctoral stipends, research assistantships, & equipment.","Do you have any looming deadline? [either today or the next couple of days]","Please indicate your workload today","Where do you typically work?","Please specify your workplace","What is your research style?","In a typical week, how many hours in total do you devote to work? This includes research, teaching, administration, and service/outreach to the scientific community and broader society.",Research,Teaching,Administration,Service/Outreach,"The sum is not 100%.Please make sure that the sum amounts to&nbsp;EXACTLY&nbsp;100%.","In a typical day how often do you take breaks during your work?","Please specify how often do you take breaks during your work?","How do you usually handle email during work?","Do you submit funding proposals?","What is the average number of funding proposals you submit per year?","What is the funding agency where you submit most of your proposals?","Please specify the name of the agency","What is your approximate success rate in this agency?","Typically, how far in advance do you start composing a proposal? Proposal composition includes writing, team arrangements, and relevant administrative work.","What is the typical length of supporting research that precedes a proposal composition in your case? Supporting research includes literature review, development of methods, pilot experiments (if applicable), and any associated data analysis.","In the week leading to a proposal deadline how much do you work with respect to a typical week?",Research,Teaching,Administration,Service/Outreach,"The sum is not 100%.Please make sure that the sum amounts to&nbsp;EXACTLY&nbsp;100%.",Research,Teaching,Administration,Service/Outreach,"The sum is not 100%.Please make sure that the sum amounts to&nbsp;EXACTLY&nbsp;100%.","When do you typically submit a funding proposal?","What is your stress level on the day of a proposal deadline with respect to a regular workday?","Regular research",Sleep,Diet,"Physical activity","Interpersonal relationships","Write about any other aspect of your proposal deadline actions, perceptions, and feelings that you consider important and are not covered in this questionnaire. Please include ideas about mechanisms to replace proposal deadlines, if you have thought of any.","Do you submit manuscripts in refereed conferences, requiring full papers (not abstracts)?","What is the average number of conference papers you submit for review each year?","What is the CORE rank of the conferences you usually submit your work?In case you need further information concerning the CORE rank of your conferences please click here.","What is your approximate success rate in these conference submissions?","Typically, how far in advance do you start composing a refereed conference paper? Composition includes writing, team arrangements, and administrative work.","What is the typical length of supporting research that precedes the composition of a refereed conference paper in your case? Supporting research includes literature review, development of methods, experiments (if applicable), and any associated data analysis.","In the week leading to a conference deadline, how much do you work with respect to a typical week?",Research,Teaching,Administration,Service/Outreach,"The sum is not 100%.Please make sure that the sum amounts to&nbsp;EXACTLY&nbsp;100%.",Research,Teaching,Administration,Service/Outreach,"The sum is not 100%.Please make sure that the sum amounts to&nbsp;EXACTLY&nbsp;100%.","When do you typically submit a conference paper?","What is your stress level on the day of a conference deadline with respect to a regular workday?","Regular research",Sleep,Diet,"Physical activity","Interpersonal relationships","Write about any other aspect of your conference deadline actions, perceptions, and feelings that you consider important and are not covered in this questionnaire. Please include ideas about mechanisms to replace conference deadlines, if you have thought of any.","How mentally demanding was the work today?","How physically demanding was the work today?","How hurried or rushed was the pace of the work today?","How successful were you in accomplishing what you were asked to do?","How hard did you have to work to accomplish your level of performance?","How insecure, discouraged, irritated, stressed and annoyed were you?","I feel pleasant","I feel nervous and restless","I feel satisfied with myself","I wish I could be as happy as others seem to be","I feel like a failure","I feel rested","I am calm, cool and collected","I feel that difficulties are piling up so that I cannot overcome them","I worry too much over something that really doesn't matter","I am happy","I have disturbing thoughts","I lack self-confidence","I feel secure","I make decisions easily","I feel inadequate","I am content","Some unimportant thought runs through my mind and bothers me","I take disappointments so keenly that I can't put them out of my mind","I am a steady person","I get in a state of tension or turmoil as I think over my recent concerns and interests","...is reserved","...is  generally trusting","...tends to be lazy","...is relaxed, handles stress well","...has few artistic interests","...is outgoing, sociable","...tends to find fault with others","...does a thorough job","...gets nervous easily","...has an active imagination","Take some time off and get away from the situation","Focus on the problem and see how I can solve it","Blame myself for having gotten into this situation","Treat myself to a favorite food or snack","Feel anxious about not being able to cope","Think about how I solved similar problems","Visit a friend","Determine a course of action and follow","Buy myself something","Blame myself for being too emotional about the situation","Work to understand the situation","Become very upset","Take corrective action immediately","Blame myself for not knowing what to do","Spend time with a special person","Think about the event and learn from my mistakes","Wish that I could change what had happened or how I felt","Go out for a snack or meal","Analyze my problem before reacting","Focus on my general inadequacies","Phone a friend","Please provide your email address.The system will use this email address to send you an acknowledgment, as well as the Amazon gift certificate, in case you are the raffle winner.","Please confirm your email address",Complete?
1,,"2020-04-22 12:23:56",,,"Assistant Professor",Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neither agree nor disagree",,,,,,,,,,Neutral,,,,,,,,,,,,,,,,,,,,,,,Complete
2,,"2020-04-22 13:15:34",,,"Assistant Professor",Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Disagree strongly",,,,,,,,,,"Not at all like me",,,,,,,,,,,,,,,,,,,,,,,Complete
3,,"2020-04-22 14:18:05",,,"Assistant Professor",Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Disagree a little",,,,,,,,,,Neutral,,,,,,,,,,,,,,,,,,,,,,,Complete
4,,"2020-04-22 14:53:06",,,"Assistant Professor",Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neither agree nor disagree",,,,,,,,,,Neutral,,,,,,,,,,,,,,,,,,,,,,,Complete
5,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
6,,"2020-04-23 13:54:05",,,"Assistant Professor",Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Disagree strongly",,,,,,,,,,"Not at all like me",,,,,,,,,,,,,,,,,,,,,,,Complete
7,,"2020-04-23 15:23:44",,,"Assistant Professor",Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Disagree strongly",,,,,,,,,,"Not at all like me",,,,,,,,,,,,,,,,,,,,,,,Complete
8,,"2020-04-27 14:15:26",,,Professor,Diverse,Physics,,122,,Other,asdf,75-50%,,,Home,,,,,,,,,,,,,,NASA,,,"2-4 weeks","3-6 months",,,,,,,,,,,,,,,,,,,asdf,,,,,"2-4 weeks",,,,,,,,,,,,,"3-6 hours before deadline",,,,,,,asdf,"Extremely 7","Extremely 7","Extremely 7","Extremely 7","Extremely 7","Extremely 7","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Agree a little","Agree a little","Agree a little","Agree a little","Agree a little","Agree a little","Agree a little",,"Neither agree nor disagree","Agree a little","Very much like me","Very much like me","Very much like me","Very much like me","Very much like me","Somewhat like me","Somewhat like me","Very much like me",,"Somewhat like me","Very much like me","Somewhat like me","Very much like me","Somewhat like me","Very much like me","Somewhat like me","Somewhat like me","Somewhat like me","Very much like me",,"Very much like me",,,Complete
9,,"[not completed]",,,Professor,Diverse,Medicine,,122,,"Three months",asdf,100-75%,,,Home,,,,,,,,,,,,,,NASA,,,"2-4 weeks","3-6 months",,,,,,,,,,,,,,,,,,,sdfas,,,,,"2-4 weeks",,,,,,,,,,,,,"3-6 hours before deadline",,,,,,,asdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
10,,"2020-04-28 16:09:31",,,Professor,Diverse,Medicine,,122,,"Three months",asdf,100-75%,,,Home,,,,,,,,,,,,,,NASA,,,"2-4 weeks","3-6 months",,,,,,,,,,,,,,,,,,,sdfas,,,,,"2-4 weeks",,,,,,,,,,,,,"3-6 hours before deadline",,,,,,,asdf,5,5,5,5,5,5,"Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Almost always","Disagree strongly","Disagree strongly","Disagree strongly","Disagree strongly","Disagree strongly","Disagree strongly","Disagree strongly",,"Disagree strongly","Disagree strongly","Not at all like me","Not at all like me","Not at all like me","Not at all like me","Not at all like me","Not at all like me","Not at all like me","Not at all like me",,"Not at all like me","Not at all like me","Not at all like me","Not at all like me","Not at all like me","Not at all like me","Not at all like me","Not at all like me","Not at all like me","Not at all like me",,"Not much like me",,,Complete
